주소,Latitude,Longitude,이름,설명,종류
서울특별시 동작구 만양로 108,37.5130774,126.9444613,담배꽁초,노량진생고기,쓰레기통
서울특별시 동작구 만양로 102-3,37.5126059,126.944729,담배꽁초,두꺼비식당,쓰레기통
서울특별시 동작구 만양로 92,37.5115991,126.9444689,담배꽁초,명가왕족발보쌈,쓰레기통
서울특별시 동작구 만양로 94,37.5117342,126.9444415,담배꽁초,짚신매운갈비,쓰레기통
서울특별시 동작구 만양로 16길 4,37.5115684,126.9446641,담배꽁초,노량해전,쓰레기통
서울특별시 동작구 만양로 16길 6,37.5116127,126.9448212,담배꽁초,주현닭한마리,쓰레기통
서울특별시 동작구 만양로 16길 9,37.5118459,126.9446019,담배꽁초,다래포차,쓰레기통
서울특별시 동작구 만양로 14길 9,37.5115186,126.9449644,담배꽁초,오징어야,쓰레기통
서울특별시 동작구 만양로 89-1,37.5114963,126.9441755,담배꽁초,연가,쓰레기통
서울특별시 동작구 만양로 85-1,37.5111008,126.9443108,담배꽁초,영흥정육식당,쓰레기통
서울특별시 동작구 만양로14길 62,37.512482,126.9475746,담배꽁초,웅비고시원,쓰레기통
서울특별시 동작구 만양로14아길 11,37.5121023,126.9481308,담배꽁초,광일고시원,쓰레기통
서울특별시 동작구 만양로12가길 64,37.5113087,126.9483812,담배꽁초,스타고시텔,쓰레기통
서울특별시 동작구 만양로10길 2,37.5088865,126.946715,담배꽁초,성원고시원,쓰레기통
서울특별시 동작구 만양로13길 38(골목길쪽),37.5089442,126.9447789,담배꽁초,힐탑고시원,쓰레기통
서울특별시 동작구 만양로13길 38(공원쪽),37.5089442,126.9447789,담배꽁초,힐탑고시원,쓰레기통
서울특별시 동작구 만양로13길 44,37.5086778,126.9448604,담배꽁초,아모르빌고시텔,쓰레기통
