주소,Latitude,Longitude,이름,설명,종류
서울특별시 동작구 신대방 1다길  신대방지구대옆,37.4866159,126.9059867,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 1길 116-1,37.4854628,126.9054678,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 1길 96,37.485654,126.9065742,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 1길 72,37.4860283,126.907887,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 1길 40,37.4865129,126.9094668,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 1가길 4,37.4867681,126.9097591,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 1길 24,37.4867596,126.9103127,의류,신대방1동,의류수거함
서울특별시 동작구 대림로 44  서광전기 앞,37.4877099,126.908673,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 11길 23,37.4885829,126.9082035,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 7길 4,37.487873,126.9101416,의류,신대방1동,의류수거함
서울특별시 동작구 신대방길 56,37.4884193,126.9098533,의류,신대방1동,의류수거함
서울특별시 동작구 신대방길 80,37.4893791,126.9098299,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 16길 10,37.4900816,126.9098389,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 16길 26,37.4907328,126.9100438,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 14길 8,37.489433,126.910347,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 2길 63,37.4892621,126.9111908,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 2길 52,37.4890763,126.9119055,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 2길 39,37.4888142,126.9124661,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 2길 21  (2개),37.4886062,126.9129417,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 14길 15,37.4897904,126.9111285,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 14가길 34,37.4899724,126.9127728,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 14가길 55,37.4897446,126.9136512,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 14가길 60,37.4895781,126.9138533,의류,신대방1동,의류수거함
서울특별시 동작구 신대방 14길 21,37.4901276,126.9113889,의류,신대방1동,의류수거함
서울특별시 동작구 여의대방로 16길 8,37.4965607,126.9166224,의류,신대방1동,의류수거함
서울특별시 동작구 여의대방로 16길 9,37.4954496,126.9167561,의류,신대방1동,의류수거함
서울특별시 동작구 여의대방로 16길 10,37.4964561,126.9166044,의류,신대방1동,의류수거함
서울특별시 동작구 여의대방로22길 20 (서일순대국),37.4974418,126.9209336,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 375-1,37.4977997,126.9203905,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-37,37.497033,126.9237615,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 361-55,37.497698,126.9243173,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 358-6,37.4977891,126.9258481,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 357-4,37.4979335,126.9261772,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-162,37.4974522,126.9261751,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-228,37.4970868,126.9246756,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-35,37.4971557,126.9239746,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-80,37.4965422,126.9236474,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-70 앞,37.4965515,126.9244629,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 360-186,37.496218,126.925928,의류,신대방2동,의류수거함
서울특별시 동작구 신대방동 366-119,37.4955888,126.9257615,의류,신대방2동,의류수거함
