주소,Latitude,Longitude,이름,설명,종류
노량진로 148,37.5129966,126.9427749,폐형광등(폐건전지),동작경찰서,폐형광등(폐건전지)
노량진로32길 10,37.5112729,126.9560008,폐형광등(폐건전지),노량진1동 현장민원실,폐형광등(폐건전지)
매봉로 158,37.5115238,126.9519398,폐형광등(폐건전지),극동강변(아) 지하주차장,폐형광등(폐건전지)
만양로 14바길 24,37.5114654,126.9468222,폐형광등(폐건전지),한강하이츠빌라 1동 앞,폐형광등(폐건전지)
만양로8길 50,37.5096287,126.9478043,폐형광등(폐건전지),우성(아) 관리실,폐형광등(폐건전지)
만양로8길 50,37.5096287,126.9478043,폐형광등(폐건전지),우성(아) 102동,폐형광등(폐건전지)
만양로8길 50,37.5096287,126.9478043,폐형광등(폐건전지),우성(아) 106동,폐형광등(폐건전지)
만양로8길 50,37.5096287,126.9478043,폐형광등(폐건전지),우성(아) 107동,폐형광등(폐건전지)
만양로 19,37.507425,126.9451235,폐형광등(폐건전지),신동아(아) 101동,폐형광등(폐건전지)
만양로 19,37.507425,126.9451235,폐형광등(폐건전지),신동아(아) 103동,폐형광등(폐건전지)
만양로 19,37.507425,126.9451235,폐형광등(폐건전지),신동아(아) 703동,폐형광등(폐건전지)
만양로 19,37.507425,126.9451235,폐형광등(폐건전지),신동아(아) 706동,폐형광등(폐건전지)
만양로 19,37.507425,126.9451235,폐형광등(폐건전지),신동아리버파크 임대 관리사무소 앞,폐형광등(폐건전지)
만양로 36,37.5077335,126.9482742,폐형광등(폐건전지),형인한강아파트,폐형광등(폐건전지)
만양로 84,37.5109281,126.9451325,폐형광등(폐건전지),"삼익(아)쓰레기장,삼익프라자",폐형광등(폐건전지)
장승배기로16길 134,37.5099935,126.943666,폐형광등(폐건전지),쌍용예가아파트,폐형광등(폐건전지)
만양로12가길 69,37.5105459,126.9487309,폐형광등(폐건전지),영본초등학교 재활용분리수거장 옆,폐형광등(폐건전지)
노량진로 24길 2,37.5122215,126.9530679,폐형광등(폐건전지),한강쌍용(아) 관리실 뒤,폐형광등(폐건전지)
매봉로134,36.59159,128.187379,폐형광등(폐건전지),신동아(아) 본동 2동,폐형광등(폐건전지)
매봉로134,36.59159,128.187379,폐형광등(폐건전지),신동아(아) 본동 7동,폐형광등(폐건전지)
매봉로134,36.59159,128.187379,폐형광등(폐건전지),신동아(아) 본동 8동(상가 앞),폐형광등(폐건전지)
노량진로23가길 16,37.5150283,126.9507176,폐형광등(폐건전지),유원(아) 정문 앞,폐형광등(폐건전지)
노량진로23가길 16,37.5150283,126.9507176,폐형광등(폐건전지),유원(아) 후문 앞,폐형광등(폐건전지)
매봉로 99,36.6191129,127.4781414,폐형광등(폐건전지),한신휴플러스(아) 101동앞,폐형광등(폐건전지)
매봉로 99,36.6191129,127.4781414,폐형광등(폐건전지),한신휴플러스(아) 105동,폐형광등(폐건전지)
노량진로22길 60,37.5107857,126.9497036,폐형광등(폐건전지),본동SH빌 쓰레기장,폐형광등(폐건전지)
장승배기로 160,37.5119189,126.9404152,폐형광등(폐건전지),노량진초등학교,폐형광등(폐건전지)
매봉로 123,37.5100161,126.9500796,폐형광등(폐건전지),본동 삼성래미안 103동,폐형광등(폐건전지)
매봉로 123,37.5100161,126.9500796,폐형광등(폐건전지),본동 삼성래미안 104동,폐형광등(폐건전지)
매봉로 123,37.5100161,126.9500796,폐형광등(폐건전지),본동 삼성래미안 106동,폐형광등(폐건전지)
노량진로23가길 23,37.5140947,126.9508023,폐형광등(폐건전지),"래미안트윈파크아파트102, 104동",폐형광등(폐건전지)
노량진로26길 16-40,37.5105672,126.9540399,폐형광등(폐건전지),본동초등학교,폐형광등(폐건전지)
장승배기로 28길 30,37.5122642,126.9420235,폐형광등(폐건전지),노량진1동주민센터,폐형광등(폐건전지)
만양로 26,37.5071676,126.9497743,폐형광등(폐건전지),건영아파트 101~103동,폐형광등(폐건전지)
만양로 26,37.5071676,126.9497743,폐형광등(폐건전지),건영아파트 104동 1~2라인,폐형광등(폐건전지)
만양로 26,37.5071676,126.9497743,폐형광등(폐건전지),건영아파트 105동,폐형광등(폐건전지)
장승배기로18길 27,37.5076463,126.9418054,폐형광등(폐건전지),노량진맨션아파트,폐형광등(폐건전지)
장승배기로19길 48,37.5084569,126.9373598,폐형광등(폐건전지),노량진2동 주민센터,폐형광등(폐건전지)
장승배기로 161,37.5122907,126.9394625,폐형광등(폐건전지),동작구청,폐형광등(폐건전지)
등용로4길 76,37.5088031,126.934931,폐형광등(폐건전지),노량진2동 재활용정거장,폐형광등(폐건전지)
상도로 68길 32,37.4924156,126.9553586,폐형광등(폐건전지),명아아트빌라 앞,폐형광등(폐건전지)
사당로2길 2-19,37.49414,126.9612892,폐형광등(폐건전지),상현중학교,폐형광등(폐건전지)
상도로 407,37.4935291,126.9574313,폐형광등(폐건전지),삼호(아) 101동,폐형광등(폐건전지)
상도로 407,37.4935291,126.9574313,폐형광등(폐건전지),삼호(아) 102동,폐형광등(폐건전지)
상도로 407,37.4935291,126.9574313,폐형광등(폐건전지),삼호(아) 104동,폐형광등(폐건전지)
상도로 407,37.4935291,126.9574313,폐형광등(폐건전지),삼호(아) 105동,폐형광등(폐건전지)
상도로 421,37.492485,126.957508,폐형광등(폐건전지),관악현대(아) 201동 앞,폐형광등(폐건전지)
상도로60길 20,37.4929949,126.9534778,폐형광등(폐건전지),대림아파트 102동,폐형광등(폐건전지)
사당로2길 2-32,37.494007,126.9594115,폐형광등(폐건전지),상도현대(아) 102동,폐형광등(폐건전지)
상도로 320,37.499075,126.949792,폐형광등(폐건전지),중앙하이츠빌 103동,폐형광등(폐건전지)
상도로 320,37.499075,126.949792,폐형광등(폐건전지),중앙하이츠빌 105동,폐형광등(폐건전지)
상도로 320,37.499075,126.949792,폐형광등(폐건전지),중앙하이츠빌 107동,폐형광등(폐건전지)
상도로 320,37.499075,126.949792,폐형광등(폐건전지),중앙하이츠빌 1078동,폐형광등(폐건전지)
상도로 320,37.499075,126.949792,폐형광등(폐건전지),중앙하이츠빌 109동,폐형광등(폐건전지)
양녕로 287,37.505402,126.9493294,폐형광등(폐건전지),대우유로카우티 101동,폐형광등(폐건전지)
상도로55길 47,37.498056,126.9582766,폐형광등(폐건전지),삼성래미안2차(아) 202동,폐형광등(폐건전지)
상도로55길 47,37.498056,126.9582766,폐형광등(폐건전지),삼성래미안2차(아) 206동,폐형광등(폐건전지)
상도로53길 70,37.5021285,126.9543668,폐형광등(폐건전지),상도sh빌(아) 201동,폐형광등(폐건전지)
상도로53길 70,37.5021285,126.9543668,폐형광등(폐건전지),상도sh빌(아) 202동,폐형광등(폐건전지)
상도로53길 70,37.5021285,126.9543668,폐형광등(폐건전지),상도sh빌(아) 203동,폐형광등(폐건전지)
